Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status,Repay_Status_sum,Previous_Payment_Prior_sum,Statement_sum
3900,2,2,2,31,0,103,1297,0,116,1367,0,53,1460,0,61,1476,0,56,1514,0,57,1538,0,0,446,8652
2000,1,1,2,22,1,56,1888,2,72,1902,0,44,1936,0,52,1133,0,48,1167,0,44,1190,0,3,316,9216
3200,1,3,1,49,0,168,3119,0,152,3235,0,0,3286,0,0,0,-2,0,0,-2,0,0,0,-4,320,9640
3600,2,2,2,26,0,61,874,0,64,921,0,60,964,0,0,1000,0,50,1000,0,49,1050,0,0,284,5809
3500,2,3,1,50,0,145,3645,0,129,3602,0,127,3533,0,110,3358,0,122,3287,0,123,3292,0,0,756,20717
3600,2,2,1,32,0,60,482,0,48,389,0,40,296,0,840,170,-1,60,720,0,80,645,0,-1,1128,2702
3300,2,3,1,40,-1,0,31,2,16,16,-1,1008,16,-1,16,1008,-1,16,16,-1,371,16,1,-3,1427,1103
1600,1,2,1,36,0,148,1395,0,0,1520,2,120,1484,2,0,1579,2,80,1548,0,32,1602,0,6,380,9128
2000,1,1,2,28,0,71,1161,0,59,1136,0,58,1165,0,44,1151,0,60,1136,0,44,1178,0,0,336,6927
3900,2,2,2,23,0,92,2507,0,100,2548,0,100,2607,0,100,2660,0,140,2673,0,104,2773,0,0,636,15768
27200,2,1,1,42,0,320,7581,0,360,7555,0,280,7603,0,280,7278,0,280,7289,0,280,7109,0,0,1800,44415
10900,2,1,2,34,0,804,1925,0,1205,1703,0,2407,2214,0,83,3686,0,82,2318,0,112,1811,0,0,4693,13657
6800,1,1,2,36,0,160,3699,0,200,3764,0,120,3891,0,160,3888,0,320,3889,0,160,4051,0,0,1120,23182
300,1,3,2,49,0,49,354,0,40,382,0,8,382,0,6,389,0,0,323,0,0,0,0,0,103,1830
3100,1,2,1,32,0,120,1899,0,80,1987,0,1160,2022,0,80,2133,0,80,1118,0,80,1115,1,0,1600,10274
19900,2,1,1,42,-2,175,181,-2,133,174,-2,272,133,-2,233,270,-2,508,232,-2,174,505,0,-12,1495,1495
1300,2,3,3,71,7,295,1185,4,158,607,8,2,171,3,4,11,12,2,617,7,367,1219,1,41,828,3810
700,1,3,2,51,0,120,767,0,120,674,0,200,577,0,240,366,0,0,404,0,0,0,1,0,680,2788
2100,1,2,1,43,0,46,386,0,40,424,0,3,261,0,0,146,0,0,0,-2,0,0,0,-2,89,1217
8100,2,1,2,28,0,620,6369,0,0,6881,2,564,6714,2,0,7165,2,296,6990,2,520,7173,1,8,2000,41292
3100,2,2,1,36,0,148,2986,0,140,3060,0,120,3127,0,135,3169,0,41,3254,0,60,1922,0,0,644,17518
16700,2,2,1,34,0,66,6339,0,57,1765,0,40,1297,0,0,753,0,843,0,-1,9142,843,1,-1,10148,10997
14300,2,1,1,52,-2,0,0,-2,0,0,-2,40,0,-1,0,40,-1,0,0,-2,0,0,1,-10,40,40
5200,1,3,2,28,0,217,5184,0,204,5203,0,167,4891,0,81,3872,0,120,2327,0,80,2299,0,0,869,23776
6900,1,1,1,33,-1,13,19,-1,21,13,-1,21,21,-1,25,21,-1,30,25,-1,21,30,1,-6,131,129
1300,2,2,2,20,-1,46,80,0,1035,125,0,60,1154,0,87,1013,0,40,1035,0,40,1007,0,-1,1308,4414
4000,2,1,1,34,0,399,2108,0,808,603,-1,169,801,-1,0,165,-1,145,-4,-1,0,140,0,-4,1521,3813
1900,2,3,1,42,-1,6,137,-1,77,6,-1,59,77,-1,75,59,-1,33,75,-1,73,33,0,-6,323,387
800,1,3,2,24,-1,0,831,3,0,807,2,40,776,0,0,800,0,0,800,0,0,0,0,4,40,4014
2900,2,2,2,29,0,2000,810,0,92,2603,0,89,2466,0,82,2512,0,80,2293,0,85,2137,0,0,2428,12821
900,2,1,1,37,-1,20,77,-1,0,20,-1,0,0,-2,254,0,-1,449,254,-1,0,449,0,-7,723,800
900,2,1,2,23,1,80,339,2,40,407,2,0,435,2,80,416,2,0,483,3,0,464,1,12,200,2544
8100,1,2,2,40,0,74,1249,0,62,1280,0,48,1308,0,49,1334,0,108,1362,0,41,1447,0,0,382,7980
12400,2,1,1,41,-1,183,80,-1,217,183,-1,229,213,-1,53,229,-1,0,61,2,127,53,0,-3,809,819
800,1,2,2,31,-1,16,16,-1,31,16,-1,0,31,2,32,16,-1,764,32,-1,40,764,1,-3,883,875
900,1,2,2,31,0,49,529,0,63,569,0,52,623,0,40,652,0,56,682,0,0,722,1,0,260,3777
2500,2,1,2,27,0,120,2287,0,152,2342,0,132,2423,0,76,1566,0,64,1585,0,60,1573,0,0,604,11776
16100,2,2,2,31,-2,25,0,-2,5,25,-2,414,5,-2,113,414,-2,96,113,-2,429,96,0,-12,1082,653
5900,2,2,1,25,-1,36,511,-1,7,17,-1,64,7,-1,16,64,-1,0,16,-1,0,0,0,-6,123,615
20000,1,3,2,30,-2,671,18,-2,1620,663,-2,43,1620,-2,85,1590,-2,114,1071,-2,3413,113,0,-12,5946,5075
8100,1,1,1,36,1,0,8178,2,342,7955,0,400,8099,0,260,6721,0,284,6792,0,240,6879,0,3,1526,44624
5600,1,1,1,44,-1,75,58,-1,50,75,-1,75,50,-1,58,75,-1,58,58,-1,41,58,0,-6,357,374
11200,1,2,2,30,0,80,1402,0,120,1462,0,80,1563,0,120,1622,0,160,1720,0,288,1851,0,0,848,9620
3600,1,2,1,48,0,97,2171,0,116,2100,-1,0,116,-1,0,0,-2,12,0,-1,0,12,1,-5,225,4399
5600,1,1,1,53,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1,-9,0,0
6800,1,1,2,38,0,520,6846,0,246,7514,0,600,6844,0,240,5519,0,280,5653,0,200,5579,0,0,2086,37955
4000,2,2,2,25,1,0,1920,2,88,1862,0,120,1871,0,80,1932,0,72,1965,0,80,1983,1,3,440,11533
2100,1,2,2,49,0,49,650,0,43,531,0,12,433,0,12,421,0,9,410,0,4,230,0,0,129,2675
7700,2,1,1,45,-2,195,67,-2,139,195,-2,1096,139,-2,0,1096,-2,5925,0,-2,262,5925,0,-12,7617,7422
7100,2,1,2,26,-1,0,106,-1,0,-25,-2,0,-25,-2,0,-25,-2,0,-25,-2,0,-25,0,-10,0,-19
800,2,2,1,23,2,58,785,0,46,703,0,20,731,0,21,745,0,40,761,0,24,597,0,2,209,4322
4900,1,2,3,40,-2,140,311,-2,68,140,-2,0,68,-2,0,0,-2,0,0,-2,0,0,0,-12,208,519
12400,2,2,1,35,2,521,12200,0,445,12450,0,336,12253,0,344,10344,0,273,9860,0,239,7956,1,2,2158,65063
400,2,3,2,53,2,136,397,2,80,265,2,0,334,2,40,320,0,40,360,0,360,400,1,8,656,2076
2100,2,1,2,33,-1,1201,509,0,511,1381,-1,160,511,-1,0,160,-1,0,0,-2,0,0,0,-6,1872,2561
2100,2,1,2,26,-2,0,31,-2,23,0,-2,0,23,-2,20,-8,-2,0,12,-2,0,0,0,-12,43,58
2500,2,2,1,55,0,120,2220,0,81,2295,0,80,1430,0,40,1033,0,80,1033,0,80,1096,0,0,481,9107
8500,1,1,2,30,0,196,3974,0,164,3980,2,144,4005,0,180,4048,0,160,4048,0,156,4127,0,2,1000,24182
8000,2,2,2,51,0,160,3221,0,200,3328,0,160,3438,0,160,3502,0,200,3609,0,160,3451,0,0,1040,20549
8000,1,2,2,36,0,264,7063,0,283,7209,0,315,7370,0,281,7147,0,271,7253,0,236,7179,1,0,1650,43221
1900,2,2,2,37,-1,48,11,-1,0,48,3,0,38,2,744,23,-1,0,744,2,37,709,0,4,829,1573
900,1,3,2,54,0,160,669,0,0,815,2,40,483,0,64,503,0,24,558,0,21,573,0,2,309,3601
5700,1,1,2,29,0,253,5319,0,264,5457,0,220,5548,0,193,5587,0,208,5663,0,224,5619,0,0,1362,33193
13900,2,1,2,33,-1,0,16,2,54,16,-1,187,54,-1,0,186,-1,48,0,-1,6,48,0,-3,295,320
14300,1,1,2,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1,-12,0,0
3300,2,2,1,27,-1,0,80,-1,27,0,-1,114,27,-1,222,114,-1,0,222,-1,231,0,0,-6,594,443
8400,2,1,1,53,0,120,654,0,80,723,0,120,723,0,6,565,0,81,282,-1,41,81,0,-1,448,3028
10000,2,2,1,34,2,66,3719,0,88,1494,0,80,1556,0,80,1414,0,40,1399,0,40,1433,1,2,394,11015
3100,2,3,1,24,0,80,272,0,124,347,0,40,465,2,0,480,2,40,466,0,80,504,0,4,364,2534
1900,1,3,2,49,0,71,1192,0,70,1148,0,58,1172,0,39,1104,0,47,1110,0,52,1123,0,0,337,6849
9600,2,3,1,34,0,341,9527,0,364,9467,0,330,7465,0,200,7579,0,200,4781,0,160,4847,1,0,1595,43666
14500,1,3,2,35,-1,77,153,-1,38,77,-1,49,38,-1,89,49,-1,80,89,-1,26,58,0,-6,359,464
3300,2,2,2,46,1,3350,-64,-1,0,3286,-1,0,0,-2,0,0,-2,0,0,-2,0,0,0,-7,3350,3222
2500,1,1,2,26,0,55,855,0,56,897,0,120,938,0,120,1042,0,0,1144,2,37,1120,1,2,388,5996
9300,2,1,2,28,-1,13,357,-1,29,13,-1,104,29,-1,128,103,-1,170,128,-1,198,170,0,-6,642,800
19300,2,1,2,32,-2,1600,475,-2,939,1557,-2,2088,939,-2,2160,2087,-2,2180,2160,-2,1693,2154,0,-12,10660,9372
6300,1,2,1,30,0,180,3727,0,180,3811,0,160,3892,0,160,3951,0,160,4041,0,160,4127,0,0,1000,23549
1300,2,3,1,42,2,58,1065,0,80,1105,0,60,1167,0,37,1206,0,80,1055,0,120,1103,1,2,435,6701
800,2,2,1,37,0,60,692,0,60,710,0,40,753,0,0,785,0,0,0,-2,0,0,1,-2,160,2940
2400,1,2,2,29,0,132,938,0,156,1042,0,60,1167,2,0,1196,2,43,1172,0,48,1189,0,4,439,6704
8100,2,2,2,29,0,200,1483,0,753,735,-1,2400,753,-1,0,0,-2,0,0,-2,0,0,0,-6,3353,2971
2100,1,3,2,40,0,120,2007,0,120,1280,0,200,1371,0,80,1547,0,120,1617,0,48,814,0,0,688,8636
2800,1,2,2,29,1,1,1406,2,65,1064,0,40,912,0,80,926,0,120,992,0,121,1097,0,3,427,6397
3700,1,2,1,32,0,123,3455,0,148,3427,0,135,3481,0,62,3550,0,56,1966,0,60,1936,1,0,584,17815
12900,2,1,1,33,1,0,0,-2,0,0,-2,50,0,-1,59,50,-1,0,59,-1,0,0,0,-6,109,109
800,1,2,1,40,1,120,593,2,0,691,3,102,668,2,38,748,3,0,762,3,26,738,0,14,286,4200
6500,2,2,3,39,0,1436,108,0,53,1537,0,36,1555,0,40,1143,0,44,1091,0,17,1121,0,0,1626,6555
4100,2,3,1,46,2,0,1747,2,160,1707,2,80,1839,2,76,1877,2,0,1910,2,80,1875,1,12,396,10955
8100,2,3,2,70,-1,401,284,-1,212,400,-1,0,212,0,0,212,0,0,0,-2,0,0,0,-5,613,1108
3700,2,2,2,44,0,160,700,0,0,836,2,120,811,0,320,806,0,200,994,0,200,950,0,2,1000,5097
3900,1,3,2,49,0,160,3787,0,160,3884,0,200,3981,0,0,4106,0,0,0,-2,0,0,0,-2,520,15758
13600,1,1,1,41,-2,450,455,-2,124,443,-2,134,124,-2,50,134,-2,771,50,-2,680,771,0,-12,2209,1977
14400,2,2,2,29,0,0,496,0,46,0,-1,47,46,-1,0,47,-1,0,0,-2,0,0,0,-5,93,589
2500,2,2,3,63,2,80,982,0,80,1034,0,80,1081,0,40,1134,0,40,1160,0,80,980,1,2,400,6371
900,2,2,2,51,0,120,557,0,120,617,0,40,627,0,80,642,0,40,696,0,40,703,0,0,440,3842
5600,2,2,1,61,0,208,5690,0,204,5687,0,200,5670,0,208,5661,0,204,5674,0,208,5686,0,0,1232,34068
6700,2,1,1,40,-1,0,236,-1,0,0,-2,0,0,-2,0,0,-2,120,0,-1,377,120,0,-9,497,356
2000,1,1,2,46,0,100,2267,0,43,2142,0,2002,2133,-1,40,1971,0,40,1163,0,40,1066,0,-1,2265,10742
19900,2,2,1,31,1,215,0,-1,165,215,-1,1784,165,-1,0,1784,0,0,1776,0,126,203,0,-2,2290,4143
4700,2,2,1,56,1,0,-8,-2,0,-8,-2,8,-8,-2,28,0,-1,77,28,-1,0,77,1,-7,113,81
16700,2,2,2,26,0,91,928,0,81,982,0,60,993,0,59,1036,0,51,1056,0,71,1062,0,0,413,6057
2100,1,2,1,46,0,59,342,0,47,395,0,38,424,0,0,454,2,22,441,0,24,456,0,2,190,2512
2100,2,2,1,47,2,80,1136,2,80,1186,2,0,1234,2,132,1202,2,60,1308,2,0,1341,0,12,352,7407
3700,2,2,2,33,0,120,3443,0,124,3503,0,125,3146,0,80,3168,0,84,2186,0,84,2236,0,0,617,17682
6000,2,2,1,30,0,80,798,0,60,746,0,60,523,0,40,523,0,0,142,0,0,0,0,0,240,2732
1100,1,2,3,44,0,127,252,0,129,373,0,120,495,0,40,606,0,140,630,0,80,759,1,0,636,3115
6100,2,2,2,37,0,122,3213,0,125,3282,0,322,3349,0,92,3223,0,385,2267,0,0,2608,0,0,1046,17942
8100,1,2,2,58,0,157,4233,0,160,4322,0,161,4410,0,178,4498,0,167,4604,0,141,4683,0,0,964,26750
13700,2,1,2,27,0,256,5281,0,280,5427,0,200,5557,0,208,5593,0,220,5698,0,1000,5811,0,0,2164,33367
5200,2,3,1,46,-1,0,31,-1,31,0,-1,0,31,2,22,16,-1,442,22,-1,38,442,0,-3,533,542
2500,1,2,2,25,0,71,1932,0,79,1944,0,57,1950,0,39,1957,0,80,1110,0,52,1146,0,0,378,10039
2000,2,2,1,31,1,72,951,2,36,996,2,0,1004,2,52,976,0,40,1012,0,40,1030,0,7,240,5969
6000,2,2,1,35,1,389,5038,2,580,5284,2,0,5715,4,80,5564,3,212,5544,2,200,5658,0,14,1461,32803
13900,1,2,2,39,0,60,1128,0,80,1173,0,0,1236,0,9,0,-1,9,9,-1,9,9,0,-2,167,3555
800,2,3,2,54,-1,0,176,-1,0,-9,-2,0,-9,-2,56,-24,-1,0,16,-1,31,0,0,-8,87,150
4900,2,1,1,43,-1,35,14,-1,71,35,-1,75,71,-1,24,75,-1,27,24,-1,48,27,1,-6,280,246
6100,1,2,1,47,1,0,5793,2,200,5673,0,380,5748,0,0,6063,2,200,5992,0,240,6124,1,5,1020,35393
8800,2,1,1,30,0,222,8752,0,298,7142,0,120,5045,0,96,4833,0,863,4793,0,400,4778,0,0,1999,35343
2900,2,3,1,47,0,50,453,0,80,484,0,0,556,2,60,535,2,0,586,2,24,571,1,6,214,3185
1300,2,2,1,37,1,0,361,2,40,325,0,40,334,0,52,349,0,0,375,2,40,121,0,5,172,1865
8400,2,1,2,24,1,0,291,2,64,198,0,80,73,0,40,152,0,40,189,0,0,226,0,3,224,1129
7900,2,1,2,31,-2,29,374,-2,29,29,-2,42,29,-2,81,42,-2,147,81,-2,29,147,0,-12,357,702
1100,2,3,1,44,0,136,1038,0,64,1157,2,0,1190,2,89,1143,2,0,1190,2,44,1136,0,8,333,6854
2000,2,2,1,43,0,114,1626,0,126,1709,0,70,1802,0,70,1825,0,66,1861,0,141,1894,0,0,587,10717
3600,1,1,2,26,1,0,0,-2,16,0,-1,1359,16,-1,40,1359,0,40,1230,0,40,1161,0,-3,1495,3766
2000,2,2,1,32,-2,421,38,-2,0,0,-2,0,0,-2,826,0,-2,0,826,-2,0,0,0,-12,1247,864
16000,2,2,1,36,0,120,3816,0,151,3826,0,120,3908,0,120,3959,0,120,4046,0,113,4095,0,0,744,23650
16100,1,1,1,65,0,428,11183,0,1880,10323,0,60,3116,0,0,2458,0,0,1784,0,0,491,0,0,2368,29355
14900,1,2,1,33,-1,135,554,-1,107,135,-1,552,107,-1,404,551,0,441,826,-1,427,435,0,-5,2066,2608
14300,2,1,2,43,0,800,13908,0,800,13195,0,1200,12886,0,400,11575,0,400,5878,0,400,5203,0,0,4000,62645
5700,1,3,2,31,1,132,3361,3,0,3404,2,260,3301,2,0,3249,2,120,3132,0,120,2887,0,10,632,19334
3700,2,3,1,33,2,136,1403,2,2,1502,2,24,1174,0,22,802,0,17,596,0,5,603,0,6,206,6080
19900,2,1,2,26,1,886,1257,-2,0,886,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0,-9,886,2143
900,1,2,1,33,0,65,711,0,64,752,0,27,791,0,34,758,0,90,743,0,0,814,0,0,280,4569
7900,2,3,1,47,-1,224,48,-1,100,224,-1,0,100,-1,0,0,-2,0,0,-2,0,0,1,-8,324,372
2100,1,3,1,44,0,52,685,0,51,710,0,25,733,0,40,732,0,29,746,0,40,741,0,0,237,4347
2400,2,3,2,51,0,87,2410,0,99,2423,0,243,2450,0,0,2508,2,77,2433,0,74,2467,0,2,580,14691
2800,1,1,2,25,-1,44,145,2,0,181,2,25,172,2,0,194,2,20,186,0,40,196,1,7,129,1074
8100,2,1,1,31,-1,80,430,0,200,478,0,400,582,0,200,898,0,24,623,0,400,393,0,-1,1304,3404
2400,2,2,2,28,0,206,6821,0,206,7006,0,408,7206,0,797,7608,0,64,8397,0,220,2220,0,0,1901,39258
13700,2,1,2,24,-1,2251,2335,0,2380,4251,0,133,6379,0,2,6227,0,262,5514,-1,656,262,0,-2,5684,24968
5700,2,1,2,23,0,35,49,-1,16,35,-1,0,16,-1,104,0,-1,0,104,0,53,7,0,-4,208,211
17100,2,1,2,43,-2,3011,391,-2,240,3011,-2,1954,240,-2,0,1554,-2,44,0,-2,46,44,0,-12,5295,5240
6500,2,2,2,29,-2,26,88,-2,85,26,-2,219,84,-2,91,219,-2,74,90,-2,222,74,0,-12,717,581
17500,2,3,2,37,0,101,315,-1,210,101,-1,528,210,-1,800,528,0,47,1161,0,25,1112,0,-3,1711,3427
1100,1,2,2,41,0,61,1148,0,51,1131,0,27,1068,0,35,805,0,35,737,0,0,721,0,0,209,5610
7200,1,1,2,29,0,280,5592,0,240,5461,0,140,2284,0,140,2108,0,140,2011,0,156,2118,0,0,1096,19574
14400,2,1,2,36,0,280,7954,0,323,7518,0,281,6525,0,120,5615,0,160,4871,0,360,4103,0,0,1524,36586
1100,2,2,1,46,0,116,1085,0,102,1170,2,32,1241,2,24,1236,2,40,1199,2,0,1180,0,8,314,7111
7100,2,3,2,40,1,193,0,-1,88,193,0,452,89,-1,7,452,0,7,374,0,122,362,0,-1,869,1470
16100,2,3,2,51,1,35,0,-1,1340,35,-1,380,1340,-1,359,380,-1,173,359,-1,217,173,0,-4,2504,2287
8000,1,1,1,54,1,0,284,2,49,192,0,480,185,0,160,597,0,199,341,0,40,223,0,3,928,1822
11100,1,1,2,36,0,600,10051,0,423,10358,0,810,10502,0,821,6562,0,6203,5272,0,440,7221,0,0,9297,49966
700,2,3,1,22,1,19,577,2,0,572,2,0,0,-2,0,0,-2,0,0,-2,0,0,1,-1,19,1149
11900,1,2,2,33,0,1061,11061,0,401,8275,0,365,6796,0,410,6822,0,203,6088,0,153,4059,0,0,2593,43101
9600,2,2,2,38,-1,118,157,-1,12,118,-1,0,12,-1,0,0,-2,0,0,-2,0,0,1,-8,130,287
400,2,3,2,46,1,146,277,2,0,411,3,0,399,2,13,373,0,13,380,0,23,368,1,8,195,2208
2100,2,3,2,49,0,165,1896,0,0,2006,2,44,1031,0,48,1046,0,40,1071,0,44,1087,1,2,341,8137
1600,2,3,1,45,-1,72,2,-1,0,74,2,40,42,0,12,75,-1,0,12,-1,0,0,0,-2,124,205
1200,2,2,2,19,0,81,1121,0,100,1011,0,400,939,0,20,1094,0,0,1004,0,0,0,0,0,601,5169
10100,2,3,1,38,-1,567,203,-1,1978,567,-1,0,1978,0,119,440,-1,164,119,-1,259,164,0,-5,3087,3471
2800,1,2,3,49,0,80,1114,0,240,1163,0,0,1383,2,80,1349,0,111,1406,0,0,1495,1,2,511,7910
2000,2,2,1,39,-2,0,750,-2,3800,0,-1,40,1252,0,148,1093,0,1,1225,2,21,1197,0,-3,4010,5517
7300,2,1,2,23,-1,1515,587,-1,0,883,2,8,851,0,0,408,0,0,0,-2,0,0,0,-2,1523,2729
2100,1,2,2,30,-2,160,621,-2,0,770,-2,240,746,-2,200,972,-2,0,1156,-2,80,1132,0,-12,680,5397
21900,1,1,1,54,0,284,8057,0,294,8217,0,301,8389,0,295,8561,0,290,8724,0,600,8411,0,0,2064,50359
1900,2,1,2,24,2,0,1167,2,144,1136,2,44,1261,2,0,1273,2,46,1241,0,46,1267,0,10,280,7345
400,1,2,2,31,1,0,360,2,56,333,0,0,345,0,0,345,0,64,314,0,0,326,1,3,120,2023
16800,1,2,1,36,0,600,2243,0,401,2205,0,400,772,0,400,892,0,800,1139,0,800,1527,0,0,3401,8778
4000,1,1,2,24,0,120,2034,0,120,2045,0,120,1938,0,120,2014,0,120,2056,0,120,2123,0,0,720,12210
3300,2,1,1,27,3,48,251,2,12,288,2,44,290,2,28,323,3,20,334,3,0,337,1,15,152,1823
7900,2,2,2,31,-1,115,686,-1,0,292,2,379,115,-1,233,379,-1,312,233,-1,115,312,0,-3,1154,2017
9300,2,2,2,40,0,124,2580,0,200,2344,0,200,2179,0,400,2120,0,120,2113,0,200,1601,0,0,1244,12937
1900,1,3,1,56,0,68,1372,0,185,1418,0,0,1578,3,0,1543,2,124,1514,2,0,1614,1,7,377,9039
800,2,3,3,42,0,144,725,0,48,831,2,40,817,2,16,795,0,0,782,0,0,0,1,4,248,3950
700,1,2,2,24,3,0,474,3,0,455,2,80,437,0,80,497,0,0,556,2,56,542,1,10,216,2961
2100,1,1,2,30,0,58,1087,0,59,1115,0,60,1156,0,44,1197,0,46,1221,0,82,1247,1,0,349,7023
9700,2,2,1,36,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1,-9,0,0
8100,2,3,1,49,1,0,0,-2,93,0,-1,304,93,-1,305,304,-1,562,304,-1,0,562,0,-5,1264,1263
2100,1,2,1,35,0,200,1771,0,120,1696,0,200,1774,0,200,1764,0,200,1948,0,240,1078,0,0,1160,10031
18700,2,2,1,48,0,54,136,-1,306,54,-1,267,306,-1,78,267,-1,0,78,-1,235,0,1,-5,940,841
400,2,2,2,25,-1,0,168,5,0,160,4,0,152,3,0,144,2,40,136,2,0,167,1,15,40,927
8100,2,3,1,40,-1,30,16,-1,160,30,-1,0,174,2,31,16,-1,0,31,0,70,16,0,-2,291,283
2900,2,2,1,44,0,200,1266,0,0,1432,2,52,1397,0,120,1426,0,0,1523,2,60,1493,0,4,432,8537
3300,2,2,2,28,0,80,2434,0,80,1869,0,80,1403,0,44,1312,0,40,1037,0,44,1057,0,0,368,9112
4700,2,2,2,25,-1,0,4,-1,0,0,-2,25,0,-1,385,25,-1,1565,385,-1,60,1565,0,-7,2035,1979
14100,1,3,1,33,1,440,9017,2,0,8585,2,220,6818,0,200,6277,0,4000,5722,0,0,8975,0,5,4860,45394
15100,1,2,1,59,0,487,14788,0,444,13270,0,440,12121,0,440,11601,0,480,11788,0,440,12060,0,0,2731,75628
5300,1,3,1,32,2,120,2776,2,120,2826,2,0,2877,2,120,2805,0,120,2881,0,124,2950,1,8,604,17115
2800,2,1,1,38,2,200,3269,0,120,3416,0,80,3451,0,120,2611,0,200,1414,0,0,374,0,2,720,14535
2100,2,2,2,22,0,91,1773,0,100,1835,0,56,1884,0,0,1928,0,120,702,0,84,312,0,0,451,8434
13300,1,1,1,38,-1,0,338,-1,7,0,-1,0,7,-1,0,0,-2,0,0,-2,0,0,0,-8,7,345
7100,2,2,1,26,-2,10913,2107,-2,281,7279,-2,328,7250,-2,330,6993,-2,7469,5636,-1,320,7090,0,-11,19641,36355
5100,1,3,2,58,0,80,1357,0,80,1414,0,80,1471,0,80,1252,0,80,1299,0,120,1358,0,0,520,8151
8700,2,1,1,37,0,199,5451,0,206,5559,0,209,5676,0,211,5791,0,219,5906,0,245,6030,0,0,1289,34413
8700,2,1,1,37,-2,0,0,-2,93,0,-2,2,93,-2,0,-24,-2,0,-47,-2,140,-82,0,-12,235,-60
4800,2,2,1,44,0,138,3213,0,101,3163,0,86,3051,0,86,2438,0,95,2441,0,88,2454,0,0,594,16760
2000,2,2,1,40,0,88,1946,0,70,1958,0,380,1968,0,60,1857,0,48,1138,0,40,1164,0,0,686,10031
2100,2,2,1,32,1,0,306,2,40,131,0,0,167,0,0,0,-2,0,0,-2,0,0,1,-1,40,604
7200,2,1,2,30,-1,237,330,-1,0,237,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1,-9,237,567
9100,2,2,2,21,3,0,44,2,0,20,2,35,0,-1,0,35,-1,0,0,-2,0,0,1,3,35,99
20000,2,1,2,33,0,446,160,0,50,449,0,45,437,0,108,472,0,137,575,0,16,632,0,0,802,2725
14500,2,1,2,34,0,440,12348,0,520,12224,0,441,12247,0,920,12186,0,532,12605,2,0,12631,0,2,2853,74241
900,2,1,2,23,1,0,794,2,160,640,0,50,663,0,180,622,0,27,731,0,120,693,1,3,537,4143
2100,2,1,2,36,0,100,2060,0,88,2023,0,80,1931,0,80,1879,0,200,1866,0,80,1929,0,0,628,11688
12000,2,1,2,29,-2,64,62,-2,36,64,-2,445,36,-2,138,441,-2,2337,138,-2,680,2314,0,-12,3700,3055
2000,1,3,1,64,1,0,471,2,88,451,2,0,532,2,44,511,2,0,541,2,48,526,1,11,180,3032
5200,2,2,2,34,0,81,1718,0,70,1772,0,80,1800,0,152,1850,0,76,1972,2,76,2010,1,2,535,11122
14300,2,3,1,36,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,10,0,-2,0,10,0,-12,10,10
6100,2,1,2,28,0,179,5469,0,169,5026,0,126,4667,0,106,4063,0,107,3110,0,107,3091,0,0,794,25426
2500,1,2,1,46,0,96,2437,0,112,2404,0,80,2393,0,44,2329,0,1625,741,-1,72,1613,0,-1,2029,11917
19900,1,3,1,43,0,162,2293,0,201,2200,0,200,1769,0,160,1628,0,200,1492,0,0,1083,0,0,923,10465
2100,1,1,2,57,0,73,2031,0,73,2028,0,88,1993,0,29,2048,0,29,812,0,28,812,0,0,320,9724
2000,2,3,1,49,0,60,1804,0,60,1156,0,60,1188,0,44,1164,0,41,1159,0,180,1178,0,0,445,7649
1900,1,1,1,50,1,0,1089,2,71,1060,0,136,1101,0,44,1143,0,106,1156,0,0,1244,1,3,357,6793
7700,1,1,2,32,-1,49,22,-1,623,49,-1,0,623,0,1141,585,-1,0,1141,0,0,997,0,-4,1813,3417
1900,2,2,1,54,2,67,1668,0,83,1671,0,80,1702,0,20,1715,0,177,304,0,160,451,1,2,587,7511
7500,2,2,1,38,0,280,7208,0,280,7258,0,124,6202,0,3684,3806,-1,128,3441,0,172,3513,1,-1,4668,31428
5100,1,2,2,33,1,0,2829,2,165,2762,2,2,2836,2,80,2545,0,55,2368,0,57,1531,0,7,359,14871
4500,2,2,1,41,0,148,3384,0,196,3417,0,0,1533,2,61,1497,0,62,1528,0,60,1558,0,2,527,12917
14100,1,2,1,43,-2,137,244,-2,313,136,-2,824,311,-2,95,823,-2,460,95,-2,555,459,0,-12,2384,2068
14500,2,1,1,28,1,48,0,-1,957,48,-1,127,952,-1,0,126,-1,1125,-6,-1,336,1120,0,-4,2593,2240
8100,2,1,1,47,-1,0,50,-1,4,0,-1,68,4,-1,382,68,-1,42,382,-1,0,42,0,-6,496,546
